Ind	Poids	Pression	Hues	Huefond	Lchair	ethylene	IR	AT	Glucose	Fructose	Malique
GoMo-B018	0.0617579093513028	79.8262499999995	58.9429596811736	67.3046969658352	242745.42718435	2.0708234293708	16.8247597963916	16.8247597963916	1.61974087294386	1.62970917599999	11.8278424154599
GoMo-B020	0.0613641593513026	66.2306249999998	52.9049818409011	67.2454945038036	240524.832709125	2.43379247203732	14.7747597963917	14.7747597963917	1.36624218952547	1.040303658	6.10623934495996
GoMo-B021	0.0765354093513024	58.32625	53.8031889137768	67.987143459251	225417.476654563	2.33701458013412	17.0247597963917	17.0247597963917	1.50887220913383	1.472288765	7.36506287995995
GoMo-B022	0.0756677357401914	64.4169999999999	39.2340581732728	73.9330929735013	254840.104	1.41111473679567			NA		
GoMo-B024	0.0688904093513021	67.9937500000002	59.7089187841079	72.9735528755919	222065.512936821	2.39220835330893	15.4247597963917	15.4247597963917	1.25969791757354	0.899453512000002	11.50115614046
GoMo-B025	0.065065409351303	91.8474999999996	60.3732719672017	69.1658927172681	260510.206625647	2.06866992805205	14.1247597963917	14.1247597963917	1.16307712220629	0.613598285000001	7.36918090745997
GoMo-B027	0.0685329093513023	68.0850000000001	57.7772820180174	73.2027415597819	276384.776585415	2.37132322722286	13.5747597963917	13.5747597963917	1.14822714412039	0.6426713375	9.62170050395992
GoMo-B028	0.0657316593513024	58.2037499999998	58.7540274492349	75.3796942820319	207960.658676438	3.72645842731165	11.9562724014337	11.9562724014337	1.25311177993026	0.797607178000001	5.37815573784233
GoMo-B029	0.0654416593513026	82.0298749999999	56.653757122075	70.8379567021078	220179.809558117	2.45877085124919	14.6747597963916	14.6747597963916	1.28542956038465	0.930527859499996	10.27079835996
GoMo-B030	0.0435741593513024	70.908	51.1359480715195	68.7776741251458	244996.248195562	2.66850876916804	15.5562724014338	15.5562724014338	1.25801092761549	0.914935707000005	5.41688044684225
GoMo-B031	0.0504541593513024	84.5115	53.9806758240322	68.963265380421	233338.407388665	2.35996802675037	19.2747597963917	19.2747597963917	1.40202348862457	1.041821923	9.74510098095997
GoMo-B034	0.0500691593513024	83.3205000000001	55.3212643879605	74.5476792352526	259384.674762554	3.03945147774442	15.1747597963917	15.1747597963917	1.57613040173729	0.682859196	6.25537046695992
GoMo-B037	0.0630504093513024	107.288875	53.3671770077351	84.5966700226818	307821.971744001	2.23960423887942	15.6562724014337	15.6562724014337	1.49934109361412	0.963438735000002	11.9144130568423
GoMo-B038	0.0552929093513026	58.1776249999999	54.9019855646412	80.4234527866437	249869.872608398	2.7983813936966	17.0247597963916	17.0247597963916	1.35905144318521	0.950998702499997	9.62894866445995
GoMo-B039	0.0482879093513018	74.4760000000001	60.610127868842	75.6490983154416	259094.897910571	3.24851160158082	15.1747597963917	15.1747597963917	1.31780590912465	0.770713718500001	8.39590073445994
GoMo-B041	0.0651104093513025	56.104625	56.5121916666429	75.9827770772238	273038.482889445	2.1303510543942	14.6747597963917	14.6747597963917	1.29967778513954	0.629808976000001	7.11420740395993
GoMo-B042	0.0576416593513024	62.9162499999999	63.9545415060171	78.6283823178556	276748.361244977	2.03983485271011	13.6747597963917	13.6747597963917	1.32174981968188	1.091062392	7.75253891245996
GoMo-B043	0.052376659351302	75.8747500000002	56.8150768628469	75.6161636382557	207246.696249868	3.02511936858694	16.1247597963917	16.1247597963917	1.30532921649719	1.068607814	8.80033295595996
